Participant number,time,gesture
69699,16:24,Zoom
,16:24,zoom
1234,02/03/2022 14:45:27,zoom
,14:47:08,zoom
4332,14:47:54:7212,zoom
43646,773,zoom
,15:38:04:2296,zoom
,15:48:47:7780,zoom
,15:49:50:3651,zoom
,15:52:04:8743,zoom
,15:52:29:1320,zoom
4312,15:56:12:1295,zoom
,15:59:47:1963,zoom
,16:01:30:8956,zoom
,16:02:01:5344,zoom
,16:02:39:3254,zoom
,16:03:17:4175,zoom
547,16:06:09:7527,zoom
,16:08:16:0556,zoom
,16:08:33:7233,zoom
,16:09:12:4468,zoom
,16:09:42:3670,zoom
,16:15:33:2798,zoom
,16:18:16:2345,zoom
,16:21:40:4237,zoom
,16:10:37:2497,zoom
,16:10:40:5511,pan
,16:10:44:0042,scroll
,16:10:47:1817,zoom
,16:10:47:8271,pan
,16:10:48:6575,scroll
,16:10:50:9857,zoom
,16:10:52:3436,pan
,16:10:53:0370,scroll
,16:10:55:8017,zoom
,16:10:56:2415,pan
,16:10:56:6484,scroll
123,10:44:49:9144,pan
123,10:44:58:8695,scroll
1,10:47:22:8593,pan
1,10:47:32:5969,scroll
,10:48:36:7741,zoom
,10:48:38:2216,pan
,10:48:39:3621,scroll
,10:48:41:9816,zoom
,10:48:44:7133,pan
,10:48:45:9718,scroll
,10:48:49:3666,zoom
,10:48:50:3395,pan
,10:48:51:5065,scroll
,10:48:54:1970,zoom
,10:48:55:1316,pan
,10:48:55:9959,scroll
,10:49:10:5339,zoom
,10:49:11:8031,pan
,10:49:12:5257,scroll
,10:51:58:8525,zoom
,10:51:59:8532,pan
,10:52:00:8245,scroll
,10:52:03:2766,zoom
,10:52:03:9717,pan
,10:52:04:7001,scroll
,10:52:06:5265,zoom
,10:52:07:0704,pan
,10:52:08:5204,scroll
,10:52:19:7299,scroll
,10:52:20:6161,pan
,10:52:21:6329,zoom
,10:52:23:6271,scroll
,10:52:24:3776,pan
,10:52:25:0260,zoom
,10:52:27:7298,scroll
,10:52:28:4230,pan
,10:52:29:1521,zoom
6969,10:56:37:0276,zoom
6969,10:57:11:4370,pan
,11:00:49:4619,zoom
,12:08:44:9397,zoom
420,12:10:24:4284,zoom
1,12:56:57:8450,zoom
1,12:57:55:0611,pan
1,12:58:41:8553,scroll
1,12:59:25:2563,zoom
1,13:00:06:6281,pan
1,13:00:33:7162,scroll
1,13:01:05:5728,zoom
1,13:01:33:3911,pan
1,13:01:59:6627,scroll
69,13:35:32:1279,zoom
69,13:35:57:6974,pan
69,13:36:23:0293,scroll
69,13:36:54:4502,zoom
2,13:45:35:0534,zoom
2,13:46:10:9793,scroll
2,13:46:39:6258,pan
2,13:47:27:1020,zoom
2,13:48:24:6502,scroll
2,13:48:58:2605,pan
2,13:49:41:0078,zoom
2,13:50:07:4375,scroll
2,13:50:33:7924,pan
3,13:58:15:0062,zoom
3,13:58:16:5081,pan
3,13:58:18:2343,scroll
3,13:58:21:5560,zoom
3,13:58:47:0997,pan
5,14:30:59:6904,pan
5,14:31:34:2578,zoom
5,14:32:05:9266,scroll
5,14:33:06:8677,pan
5,14:33:34:9138,zoom
5,14:34:00:1453,scroll
5,14:34:59:7953,pan
5,14:35:28:3275,zoom
5,14:35:54:9731,scroll
4,14:49:31:4987,pan
4,14:50:04:9881,scroll
4,14:50:39:5928,zoom
4,14:51:21:2820,pan
4,14:51:51:8984,scroll
4,14:52:24:1583,zoom
4,14:53:02:7212,pan
4,14:53:32:3572,scroll
4,14:54:03:9493,zoom
5,15:01:55:6634,scroll
5,15:02:26:3794,zoom
5,15:02:55:7333,pan
5,15:03:41:5563,scroll
5,15:04:12:3731,zoom
5,15:04:50:3241,pan
5,15:05:30:4784,scroll
5,15:05:58:7233,zoom
5,15:06:27:1019,pan
6,15:12:39:4529,scroll
6,15:13:10:1808,pan
6,15:13:39:3394,zoom
6,15:14:30:5243,scroll
6,15:14:57:2307,pan
6,15:15:24:7154,zoom
6,15:15:53:2220,scroll
6,15:16:19:6917,pan
6,15:16:46:4196,zoom
7,15:23:58:7435,zoom
7,15:24:52:0489,pan
7,15:25:25:7765,scroll
7,15:26:11:8007,zoom
7,15:26:39:2025,pan
7,15:27:19:5705,scroll
7,15:27:53:2798,zoom
7,15:28:31:1488,pan
7,15:29:17:5050,scroll
8,16:23:44:1521,zoom
8,16:24:17:2240,scroll
8,16:24:55:7810,pan
